country,mention_count,frequency_score,context_score,goods_score,diversity_score,sector_score,final_risk_score
United States,87,0.8207547169811321,0.5333333333333333,1.0,1.0,0.22115384615384615,0.662972907595549
United Kingdom,106,1.0,0.4877358490566038,0.9206349206349206,1.0,0.2384,0.6485462773285415
Canada,64,0.6037735849056604,0.6338461538461538,0.7698412698412699,0.9333333333333333,0.2285714285714286,0.6137314488446565
India,49,0.46226415094339623,0.6,0.6190476190476191,0.9333333333333333,0.20952380952380953,0.5462264150943397
China,54,0.5094339622641509,0.5666666666666667,0.5793650793650794,0.9333333333333333,0.23076923076923078,0.5336051788881977
Australia,48,0.4528301886792453,0.6020833333333333,0.5317460317460317,0.9333333333333333,0.23728813559322035,0.5297396539230764
France,37,0.3490566037735849,0.6081081081081081,0.46825396825396826,0.9333333333333333,0.21818181818181817,0.5017766872483853
Mexico,33,0.3113207547169811,0.6696969696969698,0.40476190476190477,0.8666666666666667,0.2225,0.49788315772278036
Ireland,34,0.32075471698113206,0.6588235294117647,0.36507936507936506,0.9333333333333333,0.1902439024390244,0.4853156620832103
Chile,22,0.20754716981132076,0.7363636363636363,0.3253968253968254,0.7333333333333333,0.22962962962962963,0.47909045531687033
Germany,40,0.37735849056603776,0.5675,0.42063492063492064,0.9333333333333333,0.21304347826086958,0.47746160820084116
Brazil,26,0.24528301886792453,0.6538461538461539,0.3412698412698413,0.8,0.26666666666666666,0.47202524938373996
Indonesia,20,0.18867924528301888,0.6599999999999999,0.30158730158730157,0.9333333333333333,0.23703703703703705,0.46600549066586794
Italy,28,0.2641509433962264,0.6642857142857144,0.31746031746031744,0.8,0.21176470588235294,0.46063311488117265
Spain,26,0.24528301886792453,0.6192307692307693,0.373015873015873,0.8,0.20689655172413793,0.4558923497163575
Singapore,26,0.24528301886792453,0.6384615384615385,0.3412698412698413,0.8,0.196875,0.45268230066579124
Switzerland,21,0.19811320754716982,0.6714285714285714,0.30158730158730157,0.8,0.2,0.45020814615154237
Liberia,2,0.018867924528301886,1.0,0.06349206349206349,0.2,0.30000000000000004,0.44775980832584605
Romania,13,0.12264150943396226,0.8,0.15079365079365079,0.7333333333333333,0.21333333333333335,0.4459625636418089
Japan,31,0.29245283018867924,0.532258064516129,0.40476190476190477,0.8666666666666667,0.20512820512820512,0.444418389482297
Finland,17,0.16037735849056603,0.7058823529411765,0.2222222222222222,0.8,0.2263157894736842,0.44391527282876075
Portugal,10,0.09433962264150944,0.8300000000000001,0.1746031746031746,0.6666666666666666,0.15384615384615385,0.441020653350842
Puerto Rico,12,0.11320754716981132,0.7583333333333333,0.23809523809523808,0.6,0.20714285714285713,0.4376898023360287
Ukraine,17,0.16037735849056603,0.6235294117647059,0.2777777777777778,0.7333333333333333,0.3,0.4370508077444814
Slovakia,6,0.05660377358490566,0.8666666666666667,0.07142857142857142,0.6,0.225,0.43185085354896674
Netherlands,34,0.32075471698113206,0.5176470588235295,0.30952380952380953,0.9333333333333333,0.23684210526315788,0.4313346490532658
United Arab Emirates,15,0.14150943396226415,0.6733333333333333,0.24603174603174602,0.8,0.17894736842105266,0.4271150202550401
Peru,13,0.12264150943396226,0.7538461538461539,0.20634920634920634,0.5333333333333333,0.22142857142857145,0.42531665399589924
Malaysia,25,0.2358490566037736,0.5720000000000001,0.30952380952380953,0.8,0.21875,0.4249158580413298
South Africa,22,0.20754716981132076,0.5818181818181819,0.25396825396825395,0.8666666666666667,0.2222222222222222,0.4189942552206703
Thailand,23,0.2169811320754717,0.6,0.25396825396825395,0.8,0.20357142857142857,0.4159044624138964
Bulgaria,7,0.0660377358490566,0.8857142857142858,0.11904761904761904,0.4666666666666667,0.1,0.41303234501347713
Belgium,20,0.18867924528301888,0.5900000000000001,0.23809523809523808,0.8,0.23333333333333336,0.41155840071877814
Argentina,15,0.14150943396226415,0.6799999999999999,0.24603174603174602,0.6,0.1888888888888889,0.4114366576819407
Slovenia,4,0.03773584905660377,0.9,0.05555555555555555,0.4666666666666667,0.16,0.41132914046121594
Pakistan,13,0.12264150943396226,0.6615384615384615,0.23809523809523808,0.8,0.1375,0.4108264220056673
Morocco,8,0.07547169811320754,0.8125,0.1349206349206349,0.6,0.12,0.4096523285414795
Botswana,6,0.05660377358490566,0.8666666666666667,0.05555555555555555,0.4666666666666667,0.2,0.40954926624737953
Philippines,13,0.12264150943396226,0.6846153846153846,0.1746031746031746,0.7333333333333333,0.18823529411764706,0.40651072136643723
Somalia,1,0.009433962264150943,1.0,0.007936507936507936,0.13333333333333333,0.2,0.40626085654387534
Colombia,17,0.16037735849056603,0.6411764705882353,0.24603174603174602,0.7333333333333333,0.1523809523809524,0.40576696087239933
Hong Kong,20,0.18867924528301888,0.62,0.25396825396825395,0.7333333333333333,0.16296296296296298,0.4052859139462913
New Zealand,19,0.1792452830188679,0.6052631578947368,0.1746031746031746,0.8666666666666667,0.22400000000000003,0.404884093882505
Cameroon,2,0.018867924528301886,1.0,0.023809523809523808,0.26666666666666666,0.10000000000000002,0.4045058400718778
Jersey,11,0.10377358490566038,0.6636363636363636,0.15079365079365079,0.8666666666666667,0.18666666666666668,0.40434849846170595
Republic of the Congo,11,0.10377358490566038,0.7000000000000001,0.18253968253968253,0.4666666666666667,0.2833333333333333,0.40434561245882006
Democratic Republic of the Congo,18,0.16981132075471697,0.6166666666666667,0.2698412698412698,0.5333333333333333,0.24,0.4016081162024558
Cyprus,5,0.04716981132075472,0.8400000000000001,0.07936507936507936,0.3333333333333333,0.24000000000000005,0.3998915843066786
Greece,9,0.08490566037735849,0.7555555555555555,0.0873015873015873,0.6666666666666666,0.19,0.3994270739742437
Austria,15,0.14150943396226415,0.6466666666666666,0.2222222222222222,0.7333333333333333,0.14444444444444446,0.3982620545073375
Croatia,4,0.03773584905660377,0.9,0.06349206349206349,0.4,0.11666666666666668,0.3979799341120096
Sweden,12,0.11320754716981132,0.6916666666666668,0.1349206349206349,0.7333333333333333,0.1875,0.3979675801138065
Poland,19,0.1792452830188679,0.6052631578947368,0.1746031746031746,0.8,0.21363636363636365,0.3961446999431111
Denmark,10,0.09433962264150944,0.7,0.10317460317460317,0.7333333333333333,0.19999999999999998,0.3935609463911351
Iceland,4,0.03773584905660377,0.9,0.07142857142857142,0.26666666666666666,0.15000000000000002,0.3932973944294699
Bahamas,3,0.02830188679245283,0.8666666666666667,0.047619047619047616,0.3333333333333333,0.20000000000000004,0.3914016172506739
Ghana,5,0.04716981132075472,0.9199999999999999,0.07142857142857142,0.26666666666666666,0.10000000000000002,0.39124079065588496
Liechtenstein,1,0.009433962264150943,1.0,0.023809523809523808,0.13333333333333333,0.1,0.39022911051212933
Madagascar,1,0.009433962264150943,1.0,0.023809523809523808,0.13333333333333333,0.1,0.39022911051212933
Estonia,4,0.03773584905660377,0.9,0.07142857142857142,0.3333333333333333,0.1,0.38996406109613657
Haiti,4,0.03773584905660377,0.775,0.09523809523809523,0.4666666666666667,0.22000000000000003,0.3894997753818509
Algeria,3,0.02830188679245283,0.8666666666666667,0.07936507936507936,0.26666666666666666,0.17500000000000002,0.3876714585205151
Guam,1,0.009433962264150943,1.0,0.007936507936507936,0.13333333333333333,0.1,0.3862608565438754
Seychelles,1,0.009433962264150943,1.0,0.007936507936507936,0.13333333333333333,0.1,0.3862608565438754
Cook Islands,1,0.009433962264150943,1.0,0.007936507936507936,0.13333333333333333,0.1,0.3862608565438754
Djibouti,1,0.009433962264150943,1.0,0.007936507936507936,0.13333333333333333,0.1,0.3862608565438754
Macao,1,0.009433962264150943,1.0,0.007936507936507936,0.13333333333333333,0.1,0.3862608565438754
Uganda,7,0.0660377358490566,0.8142857142857143,0.09523809523809523,0.4,0.15000000000000002,0.38541329739442953
Paraguay,5,0.04716981132075472,0.74,0.0873015873015873,0.4666666666666667,0.25,0.38220904462413896
Honduras,8,0.07547169811320754,0.675,0.1349206349206349,0.6,0.22000000000000003,0.3815273285414795
Georgia,10,0.09433962264150944,0.65,0.19047619047619047,0.6,0.15833333333333335,0.3762196765498652
Kenya,11,0.10377358490566038,0.6,0.16666666666666666,0.6,0.25833333333333336,0.3737106918238994
Lesotho,3,0.02830188679245283,0.8666666666666667,0.031746031746031744,0.3333333333333333,0.125,0.37243336328241994
Eswatini,3,0.02830188679245283,0.8666666666666667,0.031746031746031744,0.3333333333333333,0.125,0.37243336328241994
Nigeria,6,0.05660377358490566,0.7833333333333333,0.07936507936507936,0.4666666666666667,0.125,0.3713349805330938
Nicaragua,4,0.03773584905660377,0.8,0.03968253968253968,0.26666666666666666,0.24000000000000005,0.36836088649296195
Bangladesh,12,0.11320754716981132,0.5583333333333333,0.21428571428571427,0.6666666666666666,0.2,0.366975516621743
Zimbabwe,5,0.04716981132075472,0.7,0.07142857142857142,0.5333333333333333,0.21666666666666667,0.364240790655885
Guatemala,11,0.10377358490566038,0.6818181818181818,0.1746031746031746,0.4666666666666667,0.12307692307692308,0.3639465670597746
Cambodia,7,0.0660377358490566,0.7571428571428571,0.07142857142857142,0.4666666666666667,0.13333333333333333,0.3627942497753818
Namibia,5,0.04716981132075472,0.74,0.03968253968253968,0.4666666666666667,0.2,0.3603042827193771
Sri Lanka,5,0.04716981132075472,0.74,0.0873015873015873,0.4666666666666667,0.13333333333333333,0.35887571129080564
Norway,11,0.10377358490566038,0.6454545454545454,0.1349206349206349,0.6,0.13846153846153847,0.35770891582212333
Panama,4,0.03773584905660377,0.8,0.05555555555555555,0.4,0.1,0.3576624737945493
Malawi,5,0.04716981132075472,0.74,0.07936507936507936,0.4,0.16666666666666666,0.35689158430667867
Ecuador,6,0.05660377358490566,0.7166666666666667,0.1111111111111111,0.4666666666666667,0.125,0.35593815513626836
Ethiopia,5,0.04716981132075472,0.74,0.07936507936507936,0.4,0.16,0.35555825097334537
El Salvador,3,0.02830188679245283,0.7333333333333334,0.031746031746031744,0.2,0.3333333333333333,0.3541000299490865
Saudi Arabia,8,0.07547169811320754,0.65,0.09523809523809523,0.5333333333333333,0.2,0.3521900269541779
Hungary,10,0.09433962264150944,0.5599999999999999,0.15873015873015872,0.6,0.23333333333333336,0.3517831686133573
Egypt,7,0.0660377358490566,0.6857142857142857,0.12698412698412698,0.5333333333333333,0.1,0.35168313866427076
Israel,14,0.1320754716981132,0.5571428571428572,0.16666666666666666,0.6666666666666666,0.1631578947368421,0.34917245945051306
Jordan,6,0.05660377358490566,0.7166666666666667,0.10317460317460317,0.4666666666666667,0.1,0.3489540281521414
Guernsey,4,0.03773584905660377,0.75,0.06349206349206349,0.4666666666666667,0.1,0.3488132674453429
Guinea,4,0.03773584905660377,0.8,0.031746031746031744,0.3333333333333333,0.1,0.34504342617550166
Latvia,5,0.04716981132075472,0.74,0.09523809523809523,0.3333333333333333,0.10000000000000002,0.3408598382749326
Costa Rica,10,0.09433962264150944,0.61,0.1349206349206349,0.5333333333333333,0.13636363636363635,0.3372701816003703
Albania,2,0.018867924528301886,0.8,0.031746031746031744,0.26666666666666666,0.1,0.3364899670560048
Dominican Republic,10,0.09433962264150944,0.61,0.11904761904761904,0.4666666666666667,0.18181818181818182,0.33572617005635874
Oman,5,0.04716981132075472,0.7,0.0873015873015873,0.3333333333333333,0.15,0.3348757112908056
Mozambique,2,0.018867924528301886,0.8,0.015873015873015872,0.26666666666666666,0.10000000000000002,0.3325217130877508
Mali,2,0.018867924528301886,0.8,0.015873015873015872,0.26666666666666666,0.10000000000000002,0.3325217130877508
Tunisia,4,0.03773584905660377,0.675,0.06349206349206349,0.4666666666666667,0.13333333333333333,0.3292299341120096
Montenegro,2,0.018867924528301886,0.8,0.015873015873015872,0.2,0.10000000000000002,0.32585504642108415
Burkina Faso,2,0.018867924528301886,0.8,0.03968253968253968,0.13333333333333333,0.1,0.3251407607067984
Uruguay,4,0.03773584905660377,0.675,0.0873015873015873,0.3333333333333333,0.13999999999999999,0.32318231506439055
Luxembourg,4,0.03773584905660377,0.675,0.031746031746031744,0.4666666666666667,0.13999999999999999,0.322626759508835
Benin,2,0.018867924528301886,0.8,0.015873015873015872,0.13333333333333333,0.1,0.31918837975441744
Antarctica,1,0.009433962264150943,0.8,0.015873015873015872,0.13333333333333333,0.1,0.31824498352800235
Mauritius,4,0.03773584905660377,0.675,0.07142857142857142,0.4,0.1,0.3178807277628033
Serbia,4,0.03773584905660377,0.675,0.05555555555555555,0.4,0.10000000000000002,0.31391247379454923
Senegal,3,0.02830188679245283,0.7000000000000001,0.047619047619047616,0.3333333333333333,0.1,0.31306828391734054
Kuwait,4,0.03773584905660377,0.675,0.047619047619047616,0.3333333333333333,0.12000000000000002,0.3092616801437556
Papua New Guinea,3,0.02830188679245283,0.7333333333333334,0.031746031746031744,0.2,0.10000000000000002,0.3074333632824199
Zambia,6,0.05660377358490566,0.5499999999999999,0.031746031746031744,0.6,0.2,0.30609688529499846
Nepal,2,0.018867924528301886,0.7,0.03968253968253968,0.26666666666666666,0.1,0.30347409404013176
Rwanda,3,0.02830188679245283,0.7000000000000001,0.023809523809523808,0.26666666666666666,0.1,0.3004492362982929
Lithuania,5,0.04716981132075472,0.5599999999999999,0.06349206349206349,0.4,0.21666666666666667,0.29992333033842467
Qatar,7,0.0660377358490566,0.5,0.07142857142857142,0.5333333333333333,0.14444444444444446,0.28168313866427075
Belize,3,0.02830188679245283,0.5666666666666667,0.031746031746031744,0.26666666666666666,0.19999999999999998,0.2757666966157532
Burundi,2,0.018867924528301886,0.55,0.03968253968253968,0.2,0.25,0.2743074273734651
Lebanon,3,0.02830188679245283,0.5666666666666667,0.06349206349206349,0.26666666666666666,0.125,0.26870320455226115
Kazakhstan,3,0.02830188679245283,0.5666666666666667,0.07936507936507936,0.26666666666666666,0.1,0.2676714585205151
Russian Federation,2,0.018867924528301886,0.55,0.023809523809523808,0.26666666666666666,0.2,0.26700584007187783
Monaco,2,0.018867924528301886,0.6,0.023809523809523808,0.26666666666666666,0.10000000000000002,0.26450584007187783
Myanmar,4,0.03773584905660377,0.44999999999999996,0.05555555555555555,0.3333333333333333,0.275,0.26349580712788256
Isle of Man,3,0.02830188679245283,0.5666666666666668,0.023809523809523808,0.3333333333333333,0.1,0.2604492362982929
Aruba,2,0.018867924528301886,0.55,0.023809523809523808,0.2,0.2,0.2603391734052112
Cayman Islands,5,0.04716981132075472,0.48,0.07936507936507936,0.4,0.13333333333333333,0.25922491764001193
Belarus,5,0.04716981132075472,0.48,0.06349206349206349,0.4,0.13333333333333333,0.255256663671758
Bermuda,3,0.02830188679245283,0.5666666666666667,0.047619047619047616,0.2,0.10000000000000002,0.25306828391734054
Trinidad and Tobago,1,0.009433962264150943,0.6,0.007936507936507936,0.13333333333333333,0.1,0.24626085654387542
Barbados,1,0.009433962264150943,0.6,0.007936507936507936,0.13333333333333333,0.1,0.24626085654387542
Grenada,1,0.009433962264150943,0.6,0.007936507936507936,0.13333333333333333,0.1,0.24626085654387542
Jamaica,1,0.009433962264150943,0.6,0.007936507936507936,0.13333333333333333,0.1,0.24626085654387542
Malta,1,0.009433962264150943,0.6,0.007936507936507936,0.13333333333333333,0.1,0.24626085654387542
Bahrain,5,0.04716981132075472,0.38,0.06349206349206349,0.4,0.11666666666666668,0.21692333033842467
Kyrgyzstan,2,0.018867924528301886,0.35,0.047619047619047616,0.2,0.1,0.17629155435759208
Uzbekistan,2,0.018867924528301886,0.35,0.047619047619047616,0.2,0.1,0.17629155435759208
Tajikistan,2,0.018867924528301886,0.35,0.047619047619047616,0.2,0.1,0.17629155435759208
Congo (unspecified),2,0.018867924528301886,0.35,0.015873015873015872,0.2,0.1,0.16835504642108418
Angola,2,0.018867924528301886,0.35,0.007936507936507936,0.2,0.1,0.1663709194369572
Cuba,2,0.018867924528301886,0.1,0.015873015873015872,0.2,0.45,0.15085504642108416
Togo,1,0.009433962264150943,0.1,0.0,0.2,0.45,0.1459433962264151
Sudan,3,0.02830188679245283,0.10000000000000002,0.015873015873015872,0.2,0.3333333333333333,0.12846510931416594
Armenia,1,0.009433962264150943,0.1,0.007936507936507936,0.13333333333333333,0.3,0.11126085654387541
Iraq,2,0.018867924528301886,0.1,0.05555555555555555,0.2,0.1,0.09077568134171908
Azerbaijan,1,0.009433962264150943,0.1,0.03968253968253968,0.13333333333333333,0.1,0.07919736448038335
Turkmenistan,1,0.009433962264150943,0.1,0.03968253968253968,0.13333333333333333,0.1,0.07919736448038335
Maldives,1,0.009433962264150943,0.1,0.007936507936507936,0.13333333333333333,0.1,0.07126085654387541
Central African Republic,1,0.009433962264150943,0.1,0.0,0.13333333333333333,0.1,0.06927672955974842
South Sudan,1,0.009433962264150943,0.1,0.0,0.13333333333333333,0.1,0.06927672955974842
